start_station_id,end_station_id,count
71,58,109
71,59,155
71,60,788
71,61,235
71,62,244
71,63,787
71,64,328
71,65,544
71,66,210
71,67,543
71,68,311
71,69,604
71,70,896
71,71,619
71,72,332
71,73,363
71,74,408
71,75,376
71,76,219
71,77,453
71,82,334
72,39,614
72,41,219
72,42,67
72,45,191
72,46,181
72,47,195
72,48,116
72,49,69
72,50,241
72,51,37
72,54,80
72,55,463
72,56,304
72,57,346
72,58,145
72,59,420
72,60,605
72,61,128
72,62,148
72,63,167
72,64,234
72,65,2672
72,66,1045
72,67,884
72,68,147
72,69,501
72,70,811
72,71,212
72,72,436
72,73,173
72,74,393
72,75,198
72,76,865
72,77,709
72,82,86
73,39,599
73,41,604
73,42,244
73,45,714
73,46,199
73,47,371
73,48,118
73,49,323
73,50,538
73,51,1098
73,54,150
73,55,718
73,56,789
73,57,149
73,58,85
73,59,72
73,60,589
73,61,576
73,62,194
73,63,181
73,64,186
73,65,260
73,66,186
73,67,331
73,68,201
73,69,454
73,70,1159
73,71,427
73,72,213
73,73,479
73,74,416
73,75,422
73,76,821
73,77,2332
73,82,108
74,39,292
74,41,169
74,42,389
74,45,87
74,46,173
74,47,198
74,48,1290
74,49,586
74,50,138
74,51,713
74,54,1274
74,55,217
74,56,45
74,57,275
74,58,56
74,59,137
74,60,3116
74,61,3903
74,62,112
74,63,647
74,64,704
74,65,946
74,66,153
74,67,249
74,68,446
74,69,2103
74,70,3477
74,71,227
74,72,193
74,73,283
74,74,668
74,75,390
74,76,493
74,77,233
74,82,456
75,39,700
75,41,169
75,42,402
75,45,496
75,46,206
75,47,193
75,48,189
75,49,255
75,50,564
75,51,350
75,54,514
75,55,354
75,56,57
75,57,215
75,58,96
75,59,92
75,60,590
75,61,342
75,62,69
75,63,139
75,64,237
75,65,119
75,66,496
75,67,557
75,68,154
75,69,383
75,70,1087
75,71,498
75,72,406
75,73,161
75,74,395
75,75,325
75,76,993
75,77,131
75,82,290
76,39,273
76,41,278
76,42,283
76,45,334
76,46,291
76,47,132
76,48,249
76,49,413
76,50,1085
76,51,158
76,54,333
76,55,1211
76,56,483
76,57,275
76,58,218
76,59,223
76,60,929
76,61,467
76,62,336
